iter	Passed	Remaining
0	146	146848
1	147	73650
2	148	49264
3	148	37071
4	149	29760
5	150	24864
6	150	21361
7	151	18746
8	151	16703
9	152	15069
10	152	13728
11	153	12614
12	153	11671
13	154	10865
14	154	10163
15	155	9549
16	155	9007
17	156	8524
18	156	8094
19	157	7706
20	157	7354
21	158	7035
22	158	6744
23	159	6477
24	159	6231
25	160	6009
26	160	5800
27	161	5606
28	162	5424
29	162	5253
30	162	5094
31	163	4944
32	163	4804
33	164	4672
34	164	4547
35	165	4429
36	165	4318
37	166	4213
38	166	4112
39	167	4017
40	167	3926
41	168	3841
42	168	3759
43	169	3681
44	169	3606
45	170	3534
46	170	3465
47	171	3399
48	171	3336
49	172	3275
50	172	3217
51	173	3161
52	173	3107
53	174	3055
54	175	3007
55	175	2959
56	176	2913
57	176	2868
58	177	2824
59	177	2782
60	178	2741
61	178	2702
62	179	2664
63	179	2627
64	180	2592
65	180	2557
66	181	2523
67	181	2487
68	181	2455
69	182	2424
70	182	2393
71	183	2364
72	183	2335
73	184	2307
74	184	2280
75	185	2253
76	185	2228
77	186	2202
78	186	2178
79	187	2154
80	187	2131
81	188	2108
82	188	2085
83	189	2065
84	189	2042
85	190	2022
86	190	2000
87	191	1980
88	191	1961
89	192	1942
90	192	1924
91	193	1907
92	193	1889
93	194	1872
94	194	1855
95	195	1838
96	195	1822
97	196	1805
98	196	1790
99	197	1774
100	197	1759
101	197	1742
102	198	1728
103	198	1713
104	199	1699
105	199	1685
106	200	1672
107	200	1658
108	201	1645
109	201	1633
110	202	1620
111	202	1608
112	203	1596
113	203	1584
114	204	1572
115	204	1560
116	205	1548
117	205	1537
118	206	1525
119	206	1515
120	207	1504
121	207	1493
122	207	1481
123	208	1471
124	208	1461
125	209	1451
126	209	1442
127	210	1431
128	210	1422
129	211	1412
130	211	1403
131	212	1395
132	212	1386
133	213	1377
134	213	1368
135	214	1360
136	214	1351
137	215	1342
138	215	1334
139	215	1326
140	216	1319
141	216	1311
142	217	1303
143	218	1295
144	218	1288
145	219	1281
146	219	1274
147	220	1267
148	220	1260
149	221	1254
150	221	1247
151	222	1240
152	222	1233
153	223	1226
154	223	1219
155	224	1213
156	224	1206
157	225	1200
158	225	1193
159	226	1187
160	226	1181
161	227	1175
162	227	1169
163	228	1163
164	228	1157
165	229	1151
166	229	1145
167	230	1140
168	230	1134
169	231	1128
170	231	1123
171	232	1118
172	232	1112
173	233	1107
174	233	1102
175	234	1096
176	234	1091
177	235	1086
178	235	1081
179	236	1076
180	236	1070
181	236	1065
182	237	1060
183	237	1055
184	238	1050
185	238	1045
186	239	1040
187	239	1036
188	240	1031
189	240	1026
190	241	1022
191	241	1017
192	242	1013
193	242	1008
194	243	1004
195	243	1000
196	244	996
197	244	991
198	245	987
199	245	983
200	246	979
201	246	975
202	247	971
203	247	967
204	248	962
205	248	958
206	249	954
207	249	951
208	250	947
209	250	943
210	251	939
211	251	935
212	252	931
213	252	928
214	253	924
215	253	920
216	254	916
217	254	913
218	255	909
219	255	906
220	256	902
221	256	898
222	257	895
223	257	892
224	257	888
225	258	885
226	258	881
227	259	878
228	259	875
229	260	871
230	261	869
231	261	866
232	262	863
233	262	859
234	263	856
235	263	853
236	264	850
237	264	847
238	265	844
239	265	841
240	266	837
241	266	834
242	267	834
243	268	832
244	269	830
245	270	827
246	270	825
247	271	822
248	271	819
249	272	817
250	272	814
251	273	811
252	273	808
253	274	805
254	274	803
255	275	800
256	275	797
257	276	795
258	276	792
259	277	789
260	277	786
261	278	784
262	278	781
263	279	778
264	279	776
265	280	773
266	280	770
267	281	768
268	281	766
